Trace1,
Freq,,Amp,,
           131676883,Hz,              -64.38, dBm,
           132272706,Hz,              -63.40, dBm,
           132868529,Hz,              -62.11, dBm,
           133464352,Hz,              -63.56, dBm,
           134060175,Hz,              -63.84, dBm,
           134655998,Hz,              -63.70, dBm,
           135251821,Hz,              -63.72, dBm,
           135847644,Hz,              -63.61, dBm,
           136443467,Hz,              -60.91, dBm,
           137039290,Hz,              -64.83, dBm,
           137635113,Hz,              -61.59, dBm,
           138230936,Hz,              -62.14, dBm,
           138826759,Hz,              -63.18, dBm,
           139422582,Hz,              -63.12, dBm,
           140018405,Hz,              -62.60, dBm,
           140614228,Hz,              -62.07, dBm,
           141210051,Hz,              -64.31, dBm,
           141805874,Hz,              -64.62, dBm,
           142401697,Hz,              -63.96, dBm,
           142997520,Hz,              -63.20, dBm,
           143593343,Hz,              -64.17, dBm,
           144189166,Hz,              -63.50, dBm,
           144784989,Hz,              -64.59, dBm,
           145380812,Hz,              -61.40, dBm,
           145976635,Hz,              -63.45, dBm,
           146572458,Hz,              -63.12, dBm,
           147168281,Hz,              -60.71, dBm,
           147764104,Hz,              -62.52, dBm,
           148359927,Hz,              -61.75, dBm,
           148955750,Hz,              -61.82, dBm,
           149551573,Hz,              -63.93, dBm,
           150147396,Hz,              -62.90, dBm,
           150743219,Hz,              -61.16, dBm,
           151339042,Hz,              -63.18, dBm,
           151934865,Hz,              -63.14, dBm,
           152530688,Hz,              -60.70, dBm,
           153126511,Hz,              -62.29, dBm,
           153722334,Hz,              -63.69, dBm,
           154318157,Hz,              -63.03, dBm,
           154913980,Hz,              -63.33, dBm,
           155509803,Hz,              -60.97, dBm,
           156105626,Hz,              -62.50, dBm,
           156701449,Hz,              -63.97, dBm,
           157297272,Hz,              -61.89, dBm,
           157893095,Hz,              -61.98, dBm,
           158488918,Hz,              -63.30, dBm,
           159084741,Hz,              -61.19, dBm,
           159680564,Hz,              -60.82, dBm,
           160276387,Hz,              -60.54, dBm,
           160872210,Hz,              -61.34, dBm,
           161468033,Hz,              -63.30, dBm,
           162063856,Hz,              -61.33, dBm,
           162659679,Hz,              -59.61, dBm,
           163255502,Hz,              -60.87, dBm,
           163851325,Hz,              -60.80, dBm,
           164447148,Hz,              -61.06, dBm,
           165042971,Hz,              -60.20, dBm,
           165638794,Hz,              -53.30, dBm,
           166234617,Hz,              -45.74, dBm,
           166830440,Hz,              -43.87, dBm,
           167426263,Hz,              -44.64, dBm,
           168022086,Hz,              -52.03, dBm,
           168617909,Hz,              -58.12, dBm,
           169213732,Hz,              -59.64, dBm,
           169809555,Hz,              -57.15, dBm,
           170405378,Hz,              -59.59, dBm,
           171001201,Hz,              -57.25, dBm,
           171597024,Hz,              -51.33, dBm,
           172192847,Hz,              -44.36, dBm,
           172788670,Hz,              -42.94, dBm,
           173384493,Hz,              -44.28, dBm,
           173980316,Hz,              -50.61, dBm,
           174576139,Hz,              -54.10, dBm,
           175171962,Hz,              -54.22, dBm,
           175767785,Hz,              -50.02, dBm,
           176363608,Hz,              -51.83, dBm,
           176959431,Hz,              -49.98, dBm,
           177555254,Hz,              -46.65, dBm,
           178151077,Hz,              -44.18, dBm,
           178746900,Hz,              -27.05, dBm,
           179342723,Hz,              -19.56, dBm,
           179938546,Hz,              -19.32, dBm,
           180534369,Hz,              -20.69, dBm,
           181130192,Hz,              -25.76, dBm,
           181726015,Hz,              -41.63, dBm,
           182321838,Hz,              -46.03, dBm,
           182917661,Hz,              -50.51, dBm,
           183513484,Hz,              -52.42, dBm,
           184109307,Hz,              -54.96, dBm,
           184705130,Hz,              -53.21, dBm,
           185300953,Hz,              -55.87, dBm,
           185896776,Hz,              -46.96, dBm,
           186492599,Hz,              -43.57, dBm,
           187088422,Hz,              -43.28, dBm,
           187684245,Hz,              -46.28, dBm,
           188280068,Hz,              -55.53, dBm,
           188875891,Hz,              -57.39, dBm,
           189471714,Hz,              -59.97, dBm,
           190067537,Hz,              -60.71, dBm,
           190663360,Hz,              -60.00, dBm,
           191259183,Hz,              -57.05, dBm,
           191855006,Hz,              -46.18, dBm,
           192450829,Hz,              -42.60, dBm,
           193046652,Hz,              -42.04, dBm,
           193642475,Hz,              -45.57, dBm,
           194238298,Hz,              -53.72, dBm,
           194834121,Hz,              -60.21, dBm,
           195429944,Hz,              -61.16, dBm,
           196025767,Hz,              -62.13, dBm,
           196621590,Hz,              -61.08, dBm,
           197217413,Hz,              -61.44, dBm,
           197813236,Hz,              -61.17, dBm,
           198409059,Hz,              -60.67, dBm,
           199004882,Hz,              -61.07, dBm,
           199600705,Hz,              -59.65, dBm,
           200196528,Hz,              -60.91, dBm,
           200792351,Hz,              -61.15, dBm,
           201388174,Hz,              -60.52, dBm,
           201983997,Hz,              -63.35, dBm,
           202579820,Hz,              -63.52, dBm,
           203175643,Hz,              -61.23, dBm,
           203771466,Hz,              -62.37, dBm,
           204367289,Hz,              -62.31, dBm,
           204963112,Hz,              -61.63, dBm,
           205558935,Hz,              -59.45, dBm,
           206154758,Hz,              -59.68, dBm,
           206750581,Hz,              -62.42, dBm,
           207346404,Hz,              -62.88, dBm,
           207942227,Hz,              -63.62, dBm,
           208538050,Hz,              -62.02, dBm,
           209133873,Hz,              -61.49, dBm,
           209729696,Hz,              -61.95, dBm,
           210325519,Hz,              -62.35, dBm,
           210921342,Hz,              -62.11, dBm,
           211517165,Hz,              -62.59, dBm,
           212112988,Hz,              -63.60, dBm,
           212708811,Hz,              -64.19, dBm,
           213304634,Hz,              -63.73, dBm,
           213900457,Hz,              -63.08, dBm,
           214496280,Hz,              -63.40, dBm,
           215092103,Hz,              -63.78, dBm,
           215687926,Hz,              -62.67, dBm,
           216283749,Hz,              -60.13, dBm,
           216879572,Hz,              -64.13, dBm,
           217475395,Hz,              -64.52, dBm,
           218071218,Hz,              -64.84, dBm,
           218667041,Hz,              -63.94, dBm,
           219262864,Hz,              -63.01, dBm,
           219858687,Hz,              -64.87, dBm,
           220454510,Hz,              -63.48, dBm,
           221050333,Hz,              -63.72, dBm,
           221646156,Hz,              -63.96, dBm,
           222241979,Hz,              -64.15, dBm,
           222837802,Hz,              -63.52, dBm,
           223433625,Hz,              -64.49, dBm,
           224029448,Hz,              -64.29, dBm,
           224625271,Hz,              -64.76, dBm,
           225221094,Hz,              -63.99, dBm,
           225816917,Hz,              -61.25, dBm,
           226412740,Hz,              -65.22, dBm,
           227008563,Hz,              -64.21, dBm,
           227604386,Hz,              -63.85, dBm,
           228200209,Hz,              -64.38, dBm,
           228796032,Hz,              -61.97, dBm,
           229391855,Hz,              -63.69, dBm,
           229987678,Hz,              -64.78, dBm,
           230583501,Hz,              -63.08, dBm,
           231179324,Hz,              -64.61, dBm,
           231775147,Hz,              -64.60, dBm,
           232370970,Hz,              -63.15, dBm,
           232966793,Hz,              -63.28, dBm,
           233562616,Hz,              -62.31, dBm,
           234158439,Hz,              -62.94, dBm,
           234754262,Hz,              -64.27, dBm,
           235350085,Hz,              -62.92, dBm,
           235945908,Hz,              -64.91, dBm,
           236541731,Hz,              -62.04, dBm,
           237137554,Hz,              -62.82, dBm,
           237733377,Hz,              -63.66, dBm,
           238329200,Hz,              -62.72, dBm,
           238925023,Hz,              -62.52, dBm,
           239520846,Hz,              -65.75, dBm,
           240116669,Hz,              -62.19, dBm,
           240712492,Hz,              -64.09, dBm,
           241308315,Hz,              -63.57, dBm,
           241904138,Hz,              -62.02, dBm,
           242499961,Hz,              -63.10, dBm,
           243095784,Hz,              -62.78, dBm,
           243691607,Hz,              -61.83, dBm,
           244287430,Hz,              -63.81, dBm,
           244883253,Hz,              -63.70, dBm,
           245479076,Hz,              -64.78, dBm,
           246074899,Hz,              -62.53, dBm,
           246670722,Hz,              -64.44, dBm,
           247266545,Hz,              -62.05, dBm,
           247862368,Hz,              -64.32, dBm,
           248458191,Hz,              -64.21, dBm,
           249054014,Hz,              -60.47, dBm,
           249649837,Hz,              -61.51, dBm,
           250245660,Hz,              -65.19, dBm,
           250841483,Hz,              -63.35, dBm,
